linguagem,tamanhoArray,tempoExecucao,filePath
C,10,0.000004,../../../datasets/Entradas/decrescente.txt
C#,10,0.0625935000,../../../datasets/Entradas/decrescente.txt
C++,10,0.0000067900,../../../datasets/Entradas/decrescente.txt
Java,10,0.0002141530,../../../datasets/Entradas/decrescente.txt
JavaScript,10,0.000283718,../../../datasets/Entradas/decrescente.txt
PHP,10,0.0000360012,../../../datasets/Entradas/decrescente.txt
Python,10,0.0000686646,../../../datasets/Entradas/decrescente.txt
C,100,0.000016,../../../datasets/Entradas/decrescente.txt
C#,100,0.1032388000,../../../datasets/Entradas/decrescente.txt
C++,100,0.0000563960,../../../datasets/Entradas/decrescente.txt
Java,100,0.0026984490,../../../datasets/Entradas/decrescente.txt
JavaScript,100,0.000580895,../../../datasets/Entradas/decrescente.txt
PHP,100,0.0001268387,../../../datasets/Entradas/decrescente.txt
Python,100,0.0003731251,../../../datasets/Entradas/decrescente.txt
C,1000,0.000186,../../../datasets/Entradas/decrescente.txt
C#,1000,0.0668561000,../../../datasets/Entradas/decrescente.txt
C++,1000,0.0004682740,../../../datasets/Entradas/decrescente.txt
Java,1000,0.0093633490,../../../datasets/Entradas/decrescente.txt
JavaScript,1000,0.005433445,../../../datasets/Entradas/decrescente.txt
PHP,1000,0.0012509823,../../../datasets/Entradas/decrescente.txt
Python,1000,0.0044922829,../../../datasets/Entradas/decrescente.txt
C,10000,0.002010,../../../datasets/Entradas/decrescente.txt
C#,10000,0.1212301000,../../../datasets/Entradas/decrescente.txt
C++,10000,0.0069028390,../../../datasets/Entradas/decrescente.txt
Java,10000,0.0293089900,../../../datasets/Entradas/decrescente.txt
JavaScript,10000,0.016344654,../../../datasets/Entradas/decrescente.txt
PHP,10000,0.0254290104,../../../datasets/Entradas/decrescente.txt
Python,10000,0.0561809540,../../../datasets/Entradas/decrescente.txt
C,100000,0.023961,../../../datasets/Entradas/decrescente.txt
C#,100000,0.2123436000,../../../datasets/Entradas/decrescente.txt
C++,100000,0.0609154670,../../../datasets/Entradas/decrescente.txt
Java,100000,0.4702109480,../../../datasets/Entradas/decrescente.txt
JavaScript,100000,0.076708578,../../../datasets/Entradas/decrescente.txt
PHP,100000,0.1804449558,../../../datasets/Entradas/decrescente.txt
Python,100000,0.6465449333,../../../datasets/Entradas/decrescente.txt
C,1000000,0.259863,../../../datasets/Entradas/decrescente.txt
C#,1000000,0.8729302000,../../../datasets/Entradas/decrescente.txt
C++,1000000,0.6777567590,../../../datasets/Entradas/decrescente.txt
Java,1000000,1.2208945910,../../../datasets/Entradas/decrescente.txt
JavaScript,1000000,0.440244822,../../../datasets/Entradas/decrescente.txt
PHP,1000000,2.4958231449,../../../datasets/Entradas/decrescente.txt
Python,1000000,7.5939364433,../../../datasets/Entradas/decrescente.txt
C,10,0.000004,../../../datasets/Entradas/quase_ordenado.txt
C#,10,0.0625141000,../../../datasets/Entradas/quase_ordenado.txt
C++,10,0.0000080700,../../../datasets/Entradas/quase_ordenado.txt
Java,10,0.0001628410,../../../datasets/Entradas/quase_ordenado.txt
JavaScript,10,0.000276783,../../../datasets/Entradas/quase_ordenado.txt
PHP,10,0.0000350475,../../../datasets/Entradas/quase_ordenado.txt
Python,10,0.0000677109,../../../datasets/Entradas/quase_ordenado.txt
C,100,0.000016,../../../datasets/Entradas/quase_ordenado.txt
C#,100,0.0640730000,../../../datasets/Entradas/quase_ordenado.txt
C++,100,0.0000462370,../../../datasets/Entradas/quase_ordenado.txt
Java,100,0.0029928210,../../../datasets/Entradas/quase_ordenado.txt
JavaScript,100,0.000830729,../../../datasets/Entradas/quase_ordenado.txt
PHP,100,0.0001270771,../../../datasets/Entradas/quase_ordenado.txt
Python,100,0.0003757477,../../../datasets/Entradas/quase_ordenado.txt
C,1000,0.000158,../../../datasets/Entradas/quase_ordenado.txt
C#,1000,0.0844757000,../../../datasets/Entradas/quase_ordenado.txt
C++,1000,0.0005034370,../../../datasets/Entradas/quase_ordenado.txt
Java,1000,0.0123827690,../../../datasets/Entradas/quase_ordenado.txt
JavaScript,1000,0.005409758,../../../datasets/Entradas/quase_ordenado.txt
PHP,1000,0.0013461113,../../../datasets/Entradas/quase_ordenado.txt
Python,1000,0.0050292015,../../../datasets/Entradas/quase_ordenado.txt
C,10000,0.001952,../../../datasets/Entradas/quase_ordenado.txt
C#,10000,0.0788629000,../../../datasets/Entradas/quase_ordenado.txt
C++,10000,0.0059185400,../../../datasets/Entradas/quase_ordenado.txt
Java,10000,0.0348560750,../../../datasets/Entradas/quase_ordenado.txt
JavaScript,10000,0.018102321,../../../datasets/Entradas/quase_ordenado.txt
PHP,10000,0.0161139965,../../../datasets/Entradas/quase_ordenado.txt
Python,10000,0.0541861057,../../../datasets/Entradas/quase_ordenado.txt
C,100000,0.025472,../../../datasets/Entradas/quase_ordenado.txt
C#,100000,0.1746941000,../../../datasets/Entradas/quase_ordenado.txt
C++,100000,0.0626081650,../../../datasets/Entradas/quase_ordenado.txt
Java,100000,0.2282034930,../../../datasets/Entradas/quase_ordenado.txt
JavaScript,100000,0.051771565,../../../datasets/Entradas/quase_ordenado.txt
PHP,100000,0.1844549179,../../../datasets/Entradas/quase_ordenado.txt
Python,100000,0.7150006294,../../../datasets/Entradas/quase_ordenado.txt
C,1000000,0.260227,../../../datasets/Entradas/quase_ordenado.txt
C#,1000000,1.0843836000,../../../datasets/Entradas/quase_ordenado.txt
C++,1000000,0.6919956290,../../../datasets/Entradas/quase_ordenado.txt
Java,1000000,1.0940956030,../../../datasets/Entradas/quase_ordenado.txt
JavaScript,1000000,0.427252576,../../../datasets/Entradas/quase_ordenado.txt
PHP,1000000,2.3178658485,../../../datasets/Entradas/quase_ordenado.txt
Python,1000000,7.6188602448,../../../datasets/Entradas/quase_ordenado.txt
