linguagem1,tempo1,tamanhoArray,filePath,linguagem2,tempo2,tamanhoArray,filePath,porcentagem
Java,0.0175658865,10000,random1.txt,Python,0.0212305784,10000,random1.txt,-17.261385116102158
Java,0.157430085,100000,random1.txt,Rust,0.0180342764,100000,random1.txt,772.9492745270334
Java,0.157430085,100000,random1.txt,Python,0.2374653101,100000,random1.txt,-33.703965040744706
Java,0.4540201149,500000,random1.txt,Rust,0.0967334441,500000,random1.txt,369.3517522550404
Java,0.4540201149,500000,random1.txt,Python,1.3776881218,500000,random1.txt,-67.04478265321718
Java,0.8559624321,1000000,random1.txt,Rust,0.1817470917,1000000,random1.txt,370.96348232789904
Java,0.8559624321,1000000,random1.txt,Python,3.0579940081,1000000,random1.txt,-72.00902193291645
JavaScript,0.0004380183,100,random1.txt,Rust,1.56582e-05,100,random1.txt,2697.3732612944013
JavaScript,0.0004380183,100,random1.txt,Python,0.0001388788,100,random1.txt,215.396086371714
JavaScript,0.0004380183,100,random1.txt,Java,0.0014870696,100,random1.txt,-70.54486891534867
JavaScript,0.0024974944,1000,random1.txt,Rust,0.0001318095,1000,random1.txt,1794.7757179869434
JavaScript,0.0024974944,1000,random1.txt,Python,0.0016703606,1000,random1.txt,49.51827767010308
JavaScript,0.0024974944,1000,random1.txt,Java,0.0064810721,1000,random1.txt,-61.46479530755412
JavaScript,0.045545918,10000,random1.txt,Rust,0.0015563045,10000,random1.txt,2826.5428455678175
JavaScript,0.045545918,10000,random1.txt,Python,0.0212305784,10000,random1.txt,114.52980291860537
JavaScript,0.045545918,10000,random1.txt,Java,0.0175658865,10000,random1.txt,159.28619087912244
JavaScript,0.0500490006,100000,random1.txt,Rust,0.0180342764,100000,random1.txt,177.5215344930612
JavaScript,0.0500490006,100000,random1.txt,Python,0.2374653101,100000,random1.txt,-78.92365812129626
JavaScript,0.0500490006,100000,random1.txt,Java,0.157430085,100000,random1.txt,-68.20874447218903
JavaScript,0.2081843983,500000,random1.txt,Rust,0.0967334441,500000,random1.txt,115.21450025576003
JavaScript,0.2081843983,500000,random1.txt,Python,1.3776881218,500000,random1.txt,-84.88885873328141
JavaScript,0.2081843983,500000,random1.txt,Java,0.4540201149,500000,random1.txt,-54.146437246320346
JavaScript,0.4272415732,1000000,random1.txt,Rust,0.1817470917,1000000,random1.txt,135.07477847580876
JavaScript,0.4272415732,1000000,random1.txt,Python,3.0579940081,1000000,random1.txt,-86.02869815740893
JavaScript,0.4272415732,1000000,random1.txt,Java,0.8559624321,1000000,random1.txt,-50.086410667368355
PHP,8.31842e-05,100,random1.txt,Rust,1.56582e-05,100,random1.txt,431.25007983037636
PHP,8.31842e-05,100,random1.txt,Python,0.0001388788,100,random1.txt,-40.10302508374208
PHP,0.0009050846,1000,random1.txt,Rust,0.0001318095,1000,random1.txt,586.6611283708686
PHP,0.0009050846,1000,random1.txt,Python,0.0016703606,1000,random1.txt,-45.81501742797334
PHP,0.0115415335,10000,random1.txt,Rust,0.0015563045,10000,random1.txt,641.5986717252312
PHP,0.0115415335,10000,random1.txt,Python,0.0212305784,10000,random1.txt,-45.637215894221704
PHP,0.1285908222,100000,random1.txt,Rust,0.0180342764,100000,random1.txt,613.0356624677219
PHP,0.1285908222,100000,random1.txt,Python,0.2374653101,100000,random1.txt,-45.84858641211695
PHP,0.7064859152,500000,random1.txt,Rust,0.0967334441,500000,random1.txt,630.3429767988589
PHP,0.7064859152,500000,random1.txt,Python,1.3776881218,500000,random1.txt,-48.71945950459744
PHP,1.4903169155,1000000,random1.txt,Rust,0.1817470917,1000000,random1.txt,719.9949179709488
PHP,1.4903169155,1000000,random1.txt,Python,3.0579940081,1000000,random1.txt,-51.264884380006784
C,1.91e-05,100,random2.txt,Rust,1.40917e-05,100,random2.txt,35.54077932399924
C,1.91e-05,100,random2.txt,Python,0.0001549721,100,random2.txt,-87.67520089099908
C,0.0002427,1000,random2.txt,Rust,0.0001274795,1000,random2.txt,90.38355186520182
C,0.0002427,1000,random2.txt,Python,0.0017381906,1000,random2.txt,-86.03720443546294
C,0.0029293,10000,random2.txt,Rust,0.0016717454,10000,random2.txt,75.22405026507028
C,0.0029293,10000,random2.txt,Python,0.0215052366,10000,random2.txt,-86.37866648721271
C,0.0355877,100000,random2.txt,Rust,0.018569269,100000,random2.txt,91.64836267922017
C,0.0355877,100000,random2.txt,Python,0.2433798075,100000,random2.txt,-85.37771051528176
C,0.1581728,500000,random2.txt,Rust,0.094227778,500000,random2.txt,67.86217754174359
C,0.1581728,500000,random2.txt,Python,1.3795440435,500000,random2.txt,-88.53441463175727
C,0.3352577,1000000,random2.txt,Rust,0.1833753958,1000000,random2.txt,82.8258903204505
C,0.3352577,1000000,random2.txt,Python,3.0549328566,1000000,random2.txt,-89.02569333804846
C++,3.19858e-05,100,random2.txt,Rust,1.40917e-05,100,random2.txt,126.98325964929712
C++,3.19858e-05,100,random2.txt,Python,0.0001549721,100,random2.txt,-79.36028485127324
C++,3.19858e-05,100,random2.txt,C,1.91e-05,100,random2.txt,67.4649214659686
C++,0.0003312767,1000,random2.txt,Rust,0.0001274795,1000,random2.txt,159.86664522531072
C++,0.0003312767,1000,random2.txt,Python,0.0017381906,1000,random2.txt,-80.94129032799971
C++,0.0003312767,1000,random2.txt,C,0.0002427,1000,random2.txt,36.49637412443346
C++,0.0038715578,10000,random2.txt,Rust,0.0016717454,10000,random2.txt,131.58776450050348
C++,0.0038715578,10000,random2.txt,Python,0.0215052366,10000,random2.txt,-81.99713924561053
C++,0.0038715578,10000,random2.txt,C,0.0029293,10000,random2.txt,32.166654149455496
C++,0.0454228169,100000,random2.txt,Rust,0.018569269,100000,random2.txt,144.61284340272093
C++,0.0454228169,100000,random2.txt,Python,0.2433798075,100000,random2.txt,-81.33665345264932
C++,0.0454228169,100000,random2.txt,C,0.0355877,100000,random2.txt,27.63628135563693
C++,0.2383181441,500000,random2.txt,Rust,0.094227778,500000,random2.txt,152.9170793988159
C++,0.2383181441,500000,random2.txt,Python,1.3795440435,500000,random2.txt,-82.72486150602556
C++,0.2383181441,500000,random2.txt,C,0.1581728,500000,random2.txt,50.66948558791397
C++,0.4945086464,1000000,random2.txt,Rust,0.1833753958,1000000,random2.txt,169.67011808898297
C++,0.4945086464,1000000,random2.txt,Python,3.0549328566,1000000,random2.txt,-83.81278183146829
C++,0.4945086464,1000000,random2.txt,C,0.3352577,1000000,random2.txt,47.50105557605388
C#,0.03744477,100,random2.txt,Rust,1.40917e-05,100,random2.txt,265622.1626915134
C#,0.03744477,100,random2.txt,Python,0.0001549721,100,random2.txt,24062.265336792883
C#,0.03744477,100,random2.txt,Java,0.0013823189,100,random2.txt,2608.837302304121
C#,0.03751254,1000,random2.txt,Rust,0.0001274795,1000,random2.txt,29326.331292482315
C#,0.03751254,1000,random2.txt,Python,0.0017381906,1000,random2.txt,2058.1373181974404
C#,0.03751254,1000,random2.txt,Java,0.0041949934,1000,random2.txt,794.2216690972623
C#,0.04275689,10000,random2.txt,Rust,0.0016717454,10000,random2.txt,2457.6197188878164
C#,0.04275689,10000,random2.txt,Python,0.0215052366,10000,random2.txt,98.82083045763838
C#,0.04275689,10000,random2.txt,Java,0.0153771937,10000,random2.txt,178.0539208529317
C#,0.11132838,100000,random2.txt,Rust,0.018569269,100000,random2.txt,499.53022383379766
C#,0.11132838,100000,random2.txt,Python,0.2433798075,100000,random2.txt,-54.257347335604244
C#,0.11132838,100000,random2.txt,Java,0.1633968453,100000,random2.txt,-31.866261067893458
C#,0.33939487,500000,random2.txt,Rust,0.094227778,500000,random2.txt,260.1855813685854
C#,0.33939487,500000,random2.txt,Python,1.3795440435,500000,random2.txt,-75.39804027286208
C#,0.33939487,500000,random2.txt,Java,0.4450530377,500000,random2.txt,-23.74057893100411
C#,0.63684839,1000000,random2.txt,Rust,0.1833753958,1000000,random2.txt,247.29216928021484
C#,0.63684839,1000000,random2.txt,Python,3.0549328566,1000000,random2.txt,-79.15344068449403
C#,0.63684839,1000000,random2.txt,Java,0.8650308063,1000000,random2.txt,-26.378530641701136
Rust,1.40917e-05,100,random2.txt,Python,0.0001549721,100,random2.txt,-90.9069438950624
Rust,0.0001274795,1000,random2.txt,Python,0.0017381906,1000,random2.txt,-92.66596540103255
Rust,0.0016717454,10000,random2.txt,Python,0.0215052366,10000,random2.txt,-92.2263333759369
Rust,0.018569269,100000,random2.txt,Python,0.2433798075,100000,random2.txt,-92.37025076535981
Rust,0.094227778,500000,random2.txt,Python,1.3795440435,500000,random2.txt,-93.16964337282502
Rust,0.1833753958,1000000,random2.txt,Python,3.0549328566,1000000,random2.txt,-93.99740012603456
Java,0.0013823189,100,random2.txt,Rust,1.40917e-05,100,random2.txt,9709.454501586042
Java,0.0013823189,100,random2.txt,Python,0.0001549721,100,random2.txt,791.9792014175456
Java,0.0041949934,1000,random2.txt,Rust,0.0001274795,1000,random2.txt,3190.719998117344
Java,0.0041949934,1000,random2.txt,Python,0.0017381906,1000,random2.txt,141.34254321706726
Java,0.0153771937,10000,random2.txt,Rust,0.0016717454,10000,random2.txt,819.8286832432738
Java,0.0153771937,10000,random2.txt,Python,0.0215052366,10000,random2.txt,-28.495584652158634
Java,0.1633968453,100000,random2.txt,Rust,0.018569269,100000,random2.txt,779.9314894948208
Java,0.1633968453,100000,random2.txt,Python,0.2433798075,100000,random2.txt,-32.86343391491095
Java,0.4450530377,500000,random2.txt,Rust,0.094227778,500000,random2.txt,372.3161759157687
Java,0.4450530377,500000,random2.txt,Python,1.3795440435,500000,random2.txt,-67.73912077711783
Java,0.8650308063,1000000,random2.txt,Rust,0.1833753958,1000000,random2.txt,371.72675621295093
Java,0.8650308063,1000000,random2.txt,Python,3.0549328566,1000000,random2.txt,-71.6841303261002
JavaScript,0.0004360645,100,random2.txt,Rust,1.40917e-05,100,random2.txt,2994.4776002895323
JavaScript,0.0004360645,100,random2.txt,Python,0.0001549721,100,random2.txt,181.38258434905381
JavaScript,0.0004360645,100,random2.txt,Java,0.0013823189,100,random2.txt,-68.45413167685112
JavaScript,0.0020232795,1000,random2.txt,Rust,0.0001274795,1000,random2.txt,1487.1410697406247
JavaScript,0.0020232795,1000,random2.txt,Python,0.0017381906,1000,random2.txt,16.401475189199623
JavaScript,0.0020232795,1000,random2.txt,Java,0.0041949934,1000,random2.txt,-51.769185143414056
JavaScript,0.0442308146,10000,random2.txt,Rust,0.0016717454,10000,random2.txt,2545.7865294559806
JavaScript,0.0442308146,10000,random2.txt,Python,0.0215052366,10000,random2.txt,105.67462438427671
JavaScript,0.0442308146,10000,random2.txt,Java,0.0153771937,10000,random2.txt,187.63905471256436
JavaScript,0.0529482806,100000,random2.txt,Rust,0.018569269,100000,random2.txt,185.13928361961908
JavaScript,0.0529482806,100000,random2.txt,Python,0.2433798075,100000,random2.txt,-78.2445876903736
JavaScript,0.0529482806,100000,random2.txt,Java,0.1633968453,100000,random2.txt,-67.59528588034496
JavaScript,0.2129082756,500000,random2.txt,Rust,0.094227778,500000,random2.txt,125.95064865054975
JavaScript,0.2129082756,500000,random2.txt,Python,1.3795440435,500000,random2.txt,-84.56676489575231
JavaScript,0.2129082756,500000,random2.txt,Java,0.4450530377,500000,random2.txt,-52.16114539959244
JavaScript,0.4350817597,1000000,random2.txt,Rust,0.1833753958,1000000,random2.txt,137.26288786011716
JavaScript,0.4350817597,1000000,random2.txt,Python,3.0549328566,1000000,random2.txt,-85.75805819234186
JavaScript,0.4350817597,1000000,random2.txt,Java,0.8650308063,1000000,random2.txt,-49.70332194746022
PHP,8.9407e-05,100,random2.txt,Rust,1.40917e-05,100,random2.txt,534.4656783780524
PHP,8.9407e-05,100,random2.txt,Python,0.0001549721,100,random2.txt,-42.307679898510756
PHP,0.0009284735,1000,random2.txt,Rust,0.0001274795,1000,random2.txt,628.3316141026596
